dataset,true_label,gap
autodan,ATTACK,0.127823
autodan,ATTACK,0.242034
autodan,ATTACK,0.434625
autodan,ATTACK,0.612339
autodan,ATTACK,0.692398
autodan,ATTACK,0.757829
autodan,ATTACK,0.772105
autodan,ATTACK,0.759177
autodan,ATTACK,0.791144
autodan,ATTACK,0.546482
autodan,ATTACK,0.658998
autodan,ATTACK,0.7653
autodan,ATTACK,0.61164
autodan,ATTACK,0.648149
autodan,ATTACK,0.646754
autodan,ATTACK,0.751229
autodan,ATTACK,0.800743
autodan,ATTACK,0.701022
autodan,ATTACK,0.694677
autodan,ATTACK,0.776021
autodan,ATTACK,0.774639
autodan,ATTACK,0.793513
autodan,ATTACK,0.786675
autodan,ATTACK,0.775262
autodan,ATTACK,0.732709
autodan,ATTACK,0.828276
autodan,ATTACK,0.832403
autodan,ATTACK,0.819563
autodan,ATTACK,0.779127
autodan,ATTACK,0.785803
autodan,ATTACK,0.853134
autodan,ATTACK,0.665467
autodan,ATTACK,0.748445
autodan,ATTACK,0.857771
autodan,ATTACK,0.603887
autodan,ATTACK,0.555615
autodan,ATTACK,0.74479
autodan,ATTACK,0.767232
autodan,ATTACK,0.824894
autodan,ATTACK,0.883952
autodan,ATTACK,0.867003
autodan,ATTACK,0.803804
autodan,ATTACK,0.87999
autodan,ATTACK,0.794745
autodan,ATTACK,0.878863
autodan,ATTACK,0.876625
autodan,ATTACK,0.807955
autodan,ATTACK,0.876613
autodan,ATTACK,0.898523
autodan,ATTACK,0.877556
autodan,ATTACK,0.842585
autodan,ATTACK,0.908752
autodan,ATTACK,0.87509
autodan,ATTACK,0.881096
autodan,ATTACK,0.849617
autodan,ATTACK,0.833655
autodan,ATTACK,0.823753
autodan,ATTACK,0.887396
autodan,ATTACK,0.902637
autodan,ATTACK,0.733485
autodan,ATTACK,0.844061
autodan,ATTACK,0.896949
autodan,ATTACK,0.753498
autodan,ATTACK,0.816219
autodan,ATTACK,0.869228
autodan,ATTACK,0.760976
autodan,ATTACK,0.725727
autodan,ATTACK,0.846606
autodan,ATTACK,0.827337
autodan,ATTACK,0.585012
autodan,ATTACK,0.854395
autodan,ATTACK,0.853439
autodan,ATTACK,0.917218
autodan,ATTACK,0.945064
autodan,ATTACK,0.850735
autodan,ATTACK,0.905765
autodan,ATTACK,0.893941
autodan,ATTACK,0.942279
autodan,ATTACK,0.864096
autodan,ATTACK,0.852292
autodan,ATTACK,0.859023
autodan,ATTACK,0.768508
autodan,ATTACK,0.511858
autodan,ATTACK,0.749376
autodan,ATTACK,0.940792
autodan,ATTACK,0.808832
autodan,ATTACK,0.936277
autodan,ATTACK,0.888538
autodan,ATTACK,0.7929
autodan,ATTACK,0.811383
autodan,ATTACK,0.869449
autodan,ATTACK,0.902425
autodan,ATTACK,0.742504
autodan,ATTACK,0.885309
autodan,ATTACK,0.850725
autodan,ATTACK,0.796353
autodan,ATTACK,0.917294
autodan,ATTACK,0.88943
autodan,ATTACK,0.806307
autodan,ATTACK,0.633829
autodan,ATTACK,0.800957
autodan,ATTACK,0.882602
autodan,ATTACK,0.664151
autodan,ATTACK,0.927889
autodan,ATTACK,0.798076
autodan,ATTACK,0.919964
autodan,ATTACK,0.898003
autodan,ATTACK,0.946444
autodan,ATTACK,0.80936
autodan,ATTACK,0.929419
autodan,ATTACK,0.925363
autodan,ATTACK,0.842107
autodan,ATTACK,0.768248
autodan,ATTACK,0.796338
autodan,ATTACK,0.886731
autodan,ATTACK,0.719011
autodan,ATTACK,0.665285
autodan,ATTACK,0.83979
autodan,ATTACK,0.66633
autodan,ATTACK,0.812518
autodan,ATTACK,0.878654
autodan,ATTACK,0.783703
autodan,ATTACK,0.675795
autodan,ATTACK,0.929267
autodan,ATTACK,0.73717
autodan,ATTACK,0.840312
autodan,ATTACK,0.890646
autodan,ATTACK,0.89089
autodan,ATTACK,0.919368
autodan,ATTACK,0.762927
autodan,ATTACK,0.846111
autodan,ATTACK,0.885427
autodan,ATTACK,0.856128
autodan,ATTACK,0.947681
autodan,ATTACK,0.839736
autodan,ATTACK,0.946612
autodan,ATTACK,0.804159
autodan,ATTACK,0.904831
autodan,ATTACK,0.697643
autodan,ATTACK,0.7674
autodan,ATTACK,0.901097
autodan,ATTACK,0.769086
autodan,ATTACK,0.901458
autodan,ATTACK,0.916657
autodan,ATTACK,0.893179
autodan,ATTACK,0.959102
autodan,ATTACK,0.870993
autodan,ATTACK,0.735179
autodan,ATTACK,0.639941
autodan,ATTACK,0.800722
autodan,ATTACK,0.881715
autodan,ATTACK,0.819654
autodan,ATTACK,0.913769
autodan,ATTACK,0.916977
autodan,ATTACK,0.877286
autodan,ATTACK,0.764929
autodan,ATTACK,0.887844
autodan,ATTACK,0.891461
autodan,ATTACK,0.91183
autodan,ATTACK,0.88887
autodan,ATTACK,0.773774
autodan,ATTACK,0.92003
autodan,ATTACK,0.935558
autodan,ATTACK,0.96442
autodan,ATTACK,0.935607
autodan,ATTACK,0.839891
autodan,ATTACK,0.887707
autodan,ATTACK,0.767836
autodan,ATTACK,0.802665
autodan,ATTACK,0.915279
autodan,ATTACK,0.828773
autodan,ATTACK,0.848351
autodan,ATTACK,0.847092
autodan,ATTACK,0.876794
autodan,ATTACK,0.916827
autodan,ATTACK,0.943385
autodan,ATTACK,0.929793
autodan,ATTACK,0.92343
autodan,ATTACK,0.943437
autodan,ATTACK,0.960567
autodan,ATTACK,0.911587
autodan,ATTACK,0.915827
autodan,ATTACK,0.952476
autodan,ATTACK,0.828934
autodan,ATTACK,0.89827
autodan,ATTACK,0.941403
autodan,ATTACK,0.862262
autodan,ATTACK,0.884303
autodan,ATTACK,0.765584
autodan,ATTACK,0.881677
autodan,ATTACK,0.768883
autodan,ATTACK,0.733871
autodan,ATTACK,0.801148
autodan,ATTACK,0.939647
autodan,ATTACK,0.736937
autodan,ATTACK,0.773974
autodan,ATTACK,0.907076
autodan,ATTACK,0.870156
autodan,ATTACK,0.861697
autodan,ATTACK,0.94537
autodan,ATTACK,0.80978
autodan,ATTACK,0.903828
autodan,ATTACK,0.886197
autodan,ATTACK,0.704707
autodan,ATTACK,0.929062
autodan,ATTACK,0.854513
autodan,ATTACK,0.820239
autodan,ATTACK,0.922558
autodan,ATTACK,0.777555
