dataset,true_label,gap
drattack,ATTACK,-0.024791
drattack,ATTACK,0.063321
drattack,ATTACK,0.013783
drattack,ATTACK,-0.02454
drattack,ATTACK,0.025635
drattack,ATTACK,-0.010345
drattack,ATTACK,-0.032832
drattack,ATTACK,0.029431
drattack,ATTACK,0.087698
drattack,ATTACK,0.018611
drattack,ATTACK,-0.006513
drattack,ATTACK,0.009611
drattack,ATTACK,0.033651
drattack,ATTACK,-0.044109
drattack,ATTACK,0.001256
drattack,ATTACK,0.010523
drattack,ATTACK,-0.005773
drattack,ATTACK,0.077805
drattack,ATTACK,0.063102
drattack,ATTACK,0.004704
drattack,ATTACK,-0.006521
drattack,ATTACK,0.010308
drattack,ATTACK,-0.000842
drattack,ATTACK,0.026661
drattack,ATTACK,0.031883
drattack,ATTACK,0.047232
drattack,ATTACK,0.038221
drattack,ATTACK,0.036773
drattack,ATTACK,-0.046122
drattack,ATTACK,0.028463
drattack,ATTACK,0.012448
drattack,ATTACK,-0.012237
drattack,ATTACK,0.026303
drattack,ATTACK,-0.027676
drattack,ATTACK,-0.005012
drattack,ATTACK,0.068487
drattack,ATTACK,0.00664
drattack,ATTACK,-0.00423
drattack,ATTACK,0.027824
drattack,ATTACK,0.013827
drattack,ATTACK,0.041725
drattack,ATTACK,0.045812
drattack,ATTACK,0.022377
drattack,ATTACK,0.043552
drattack,ATTACK,-0.003487
drattack,ATTACK,0.00018
drattack,ATTACK,0.017408
drattack,ATTACK,0.032428
drattack,ATTACK,0.024049
drattack,ATTACK,0.049546
drattack,ATTACK,0.038122
drattack,ATTACK,-0.025574
drattack,ATTACK,-0.006581
drattack,ATTACK,-0.003569
drattack,ATTACK,0.005062
drattack,ATTACK,0.06347
drattack,ATTACK,0.037304
drattack,ATTACK,0.009115
drattack,ATTACK,-0.047595
drattack,ATTACK,0.010601
drattack,ATTACK,0.049092
drattack,ATTACK,0.04162
drattack,ATTACK,0.032594
drattack,ATTACK,0.017129
drattack,ATTACK,0.001988
drattack,ATTACK,0.022391
drattack,ATTACK,0.060774
drattack,ATTACK,0.051903
drattack,ATTACK,0.016215
drattack,ATTACK,0.095397
drattack,ATTACK,-0.027279
drattack,ATTACK,0.034568
drattack,ATTACK,0.039087
drattack,ATTACK,0.008784
drattack,ATTACK,0.016134
drattack,ATTACK,-0.03159
drattack,ATTACK,0.035162
drattack,ATTACK,0.027228
drattack,ATTACK,0.012803
drattack,ATTACK,0.019712
drattack,ATTACK,-0.008369
drattack,ATTACK,0.027552
drattack,ATTACK,0.031807
drattack,ATTACK,-0.054592
drattack,ATTACK,-0.002718
drattack,ATTACK,0.065201
drattack,ATTACK,0.045421
drattack,ATTACK,0.05801
drattack,ATTACK,0.040835
drattack,ATTACK,-0.010743
drattack,ATTACK,0.016266
drattack,ATTACK,-0.021494
drattack,ATTACK,0.064716
drattack,ATTACK,-0.011285
drattack,ATTACK,0.02356
drattack,ATTACK,0.028761
drattack,ATTACK,0.011068
drattack,ATTACK,-0.00743
drattack,ATTACK,0.000972
drattack,ATTACK,0.016622
drattack,ATTACK,0.02599
drattack,ATTACK,0.016202
drattack,ATTACK,0.006691
drattack,ATTACK,0.094552
drattack,ATTACK,-0.023034
drattack,ATTACK,0.02534
drattack,ATTACK,0.079672
drattack,ATTACK,-0.004524
drattack,ATTACK,-0.009832
drattack,ATTACK,0.027025
drattack,ATTACK,0.021008
drattack,ATTACK,-0.021527
drattack,ATTACK,-0.014121
drattack,ATTACK,0.034782
